,gp,tp,gpg,apg,pmpg,+/-pg,position_C,position_D,position_F,position_L,position_R,position_W,ppg
42746,51,16,0.058823529411764705,0.2549019607843137,0.45098039215686275,-0.0784313725490196,0,1,0,0,0,0,0.31
43379,53,32,0.16981132075471697,0.4339622641509434,0.22641509433962265,0.49056603773584906,0,1,0,0,0,0,0.6
44835,20,6,0.05,0.25,0.2,0.35,0,1,0,0,0,0,0.3
21398,4,0,0.0,0.0,3.25,-0.5,0,0,0,0,1,0,0.0
22063,68,2,0.014705882352941176,0.014705882352941176,1.911764705882353,-0.19117647058823528,0,0,0,0,1,0,0.03
22761,35,5,0.02857142857142857,0.11428571428571428,2.257142857142857,0.08571428571428572,0,0,0,0,1,0,0.14
42372,66,62,0.30303030303030304,0.6363636363636364,0.2727272727272727,0.030303030303030304,1,0,0,0,0,0,0.94
43262,50,58,0.52,0.64,0.28,0.24,1,0,0,0,0,0,1.16
44204,62,82,0.5483870967741935,0.7741935483870968,0.22580645161290322,0.5967741935483871,1,0,0,0,0,0,1.32
38868,75,39,0.17333333333333334,0.3466666666666667,0.26666666666666666,0.04,0,0,0,0,1,0,0.52
40177,15,7,0.26666666666666666,0.2,0.0,-0.06666666666666667,0,0,0,0,1,0,0.47
41405,7,0,0.0,0.0,1.4285714285714286,-0.14285714285714285,0,0,0,0,1,0,0.0
32645,75,43,0.26666666666666666,0.30666666666666664,0.4533333333333333,-0.06666666666666667,0,0,0,0,1,0,0.57
33657,71,27,0.15492957746478872,0.22535211267605634,0.9436619718309859,-0.23943661971830985,0,0,0,0,1,0,0.38
34849,26,6,0.15384615384615385,0.07692307692307693,0.3076923076923077,-0.2692307692307692,0,0,0,0,1,0,0.23
43151,0,0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0.0
44003,2,1,0.0,0.5,0.0,-0.5,0,0,0,0,1,0,0.5
45184,11,0,0.0,0.0,0.36363636363636365,0.0,0,0,0,0,1,0,0.0
43037,49,3,0.0,0.061224489795918366,0.4897959183673469,-0.1836734693877551,0,1,0,0,0,0,0.06
